prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.8019,1.6676,32.3593,0.9265,base,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.866,1.7766,32.1229,0.8802,base,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4793,1.6301,37.238,0.9369,base,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8615,1.7654,38.9874,0.8923,base,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2156,1.6001,36.3977,0.9228,base,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9585,1.3982,36.7351,0.6869,base,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.8139,1.2235,37.7578,0.7788,base,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8609,1.3802,33.9879,0.7636,base,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,2.0059,1.284,31.933,0.7464,base,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4111,1.5964,39.2806,0.668,base,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9605,1.5916,39.2652,0.8255,base,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5849,1.498,41.345,0.6696,base,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.874,1.4286,39.1074,0.8397,base,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.6235,1.3904,39.4445,0.8087,base,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.8647,1.6143,41.9611,0.9029,base,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.8491,1.2912,38.8087,0.6945,base,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.95,1.5955,38.7289,0.9008,base,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.7999,1.7315,41.654,0.9386,base,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.803,1.8622,34.2559,0.9786,base,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7422,2.1465,35.7957,0.9096,base,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4275,1.4275,43.666,0.871,base,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7265,1.5043,41.3433,0.7374,base,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.4513,2.0482,37.6949,0.9479,base,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.8218,1.4235,39.5238,0.7461,base,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5621,1.8625,38.9168,0.9224,base,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.8838,1.6389,38.3844,0.8682,base,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.7343,1.5098,39.4051,0.9411,base,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9554,1.6635,34.7071,0.9448,base,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.3412,1.464,32.8802,0.942,base,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.8605,1.7277,37.2197,0.9425,base,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.8523,1.7965,41.3941,0.8787,base,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.1892,1.8933,37.8597,0.9123,base,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5591,1.8163,34.5826,0.8907,base,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.3834,1.819,32.4023,0.9205,base,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6557,1.6156,38.0171,0.8343,base,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8148,1.3999,34.995,0.9296,base,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5203,1.5607,39.4434,0.909,base,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8698,1.5374,41.3413,0.8507,base,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.9236,1.8805,40.7944,0.9333,base,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.214,1.3488,40.6408,0.8853,base,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.5141,1.7017,39.5185,0.8881,base,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.8874,2.2881,42.9309,0.9574,base,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6833,1.6759,36.5542,0.8905,base,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4508,1.6436,33.6823,0.9294,base,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.0298,1.5327,33.9301,0.8997,base,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.3082,1.698,35.0552,0.8552,base,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.256,1.7146,36.1372,0.877,base,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0488,1.9856,41.9181,0.9151,base,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7589,1.7058,33.0251,0.9395,ourmethod,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.9432,1.7911,32.0869,0.9459,ourmethod,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.5899,1.6531,37.5316,0.9398,ourmethod,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.9529,1.77,36.9838,0.9094,ourmethod,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2731,1.6496,36.1904,0.9291,ourmethod,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9678,1.3993,36.743,0.7376,ourmethod,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.9443,1.2509,39.3805,0.7943,ourmethod,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8531,1.4213,33.6087,0.7644,ourmethod,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,1.954,1.2539,31.7267,0.7017,ourmethod,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4635,1.5773,39.1653,0.6939,ourmethod,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9494,1.553,38.73,0.8216,ourmethod,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5621,1.4912,42.1276,0.6729,ourmethod,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.7378,1.4336,39.4751,0.8627,ourmethod,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.7323,1.3907,40.2747,0.8641,ourmethod,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,2.0606,1.5959,41.2003,0.9026,ourmethod,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,2.0263,1.3041,38.5284,0.794,ourmethod,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.9684,1.6641,40.5474,0.9138,ourmethod,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.9051,1.7253,41.6996,0.9149,ourmethod,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.8718,1.8853,35.5592,0.9746,ourmethod,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7582,2.2176,35.8435,0.9024,ourmethod,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.6959,1.4527,42.2904,0.8995,ourmethod,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7442,1.5427,41.628,0.767,ourmethod,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.5544,2.1232,35.8298,0.9598,ourmethod,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.6607,1.4456,39.5828,0.7863,ourmethod,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.6421,1.9353,38.6864,0.8927,ourmethod,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.9007,1.6536,39.0655,0.8393,ourmethod,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.958,1.4897,38.8931,0.928,ourmethod,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9038,1.6945,38.0182,0.9264,ourmethod,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.5813,1.5479,34.092,0.9432,ourmethod,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.8484,1.7328,38.2566,0.9594,ourmethod,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,2.0051,1.7715,39.0839,0.9058,ourmethod,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.0103,1.9245,39.6097,0.9242,ourmethod,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5429,1.813,34.1903,0.8742,ourmethod,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.1957,1.8296,34.9548,0.9257,ourmethod,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6657,1.6322,37.1958,0.8491,ourmethod,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8094,1.4433,35.3569,0.9558,ourmethod,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.6749,1.5438,39.6834,0.8587,ourmethod,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,2.0258,1.5841,42.7907,0.9126,ourmethod,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.8293,1.8506,40.602,0.9453,ourmethod,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.1939,1.3991,40.8868,0.9336,ourmethod,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.6574,1.835,39.6351,0.9584,ourmethod,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.9913,2.401,42.7696,0.9485,ourmethod,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.8302,1.7439,36.0056,0.9314,ourmethod,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4959,1.8321,32.8878,0.9474,ourmethod,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.8972,1.5773,33.6937,0.9485,ourmethod,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.2468,1.79,36.0507,0.8419,ourmethod,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.3132,1.7025,39.2567,0.8923,ourmethod,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0337,1.9816,40.2836,0.9273,ourmethod,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.729,1.6493,32.0482,0.9279,cads,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.8111,1.7843,31.6225,0.8787,cads,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4804,1.6319,37.0331,0.9402,cads,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8458,1.7675,38.6022,0.8931,cads,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.3704,1.6109,36.4505,0.9239,cads,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.8505,1.4142,36.7595,0.6962,cads,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.907,1.2319,38.6678,0.7771,cads,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8187,1.3959,34.1951,0.7666,cads,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,1.9388,1.2825,32.3219,0.7345,cads,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4416,1.6047,39.3741,0.6699,cads,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.8543,1.5619,39.6519,0.8149,cads,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
