prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.587,1.4883,41.8066,0.6744,cads,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.9128,1.436,38.4128,0.8569,cads,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.647,1.395,39.2667,0.807,cads,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.9217,1.6133,42.0302,0.9019,cads,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,2.0156,1.2946,38.7681,0.6981,cads,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.8652,1.592,39.5047,0.8966,cads,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.7796,1.7144,41.1417,0.9347,cads,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.7095,1.8779,33.5514,0.9551,cads,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7502,2.165,35.7882,0.9085,cads,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4301,1.4235,43.1613,0.8643,cads,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.8644,1.508,40.7006,0.7349,cads,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.5553,2.0418,37.3245,0.9434,cads,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.644,1.4308,40.0311,0.7443,cads,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5693,1.8637,38.6814,0.927,cads,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.8989,1.6491,38.6432,0.8914,cads,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.6614,1.5215,39.2738,0.9442,cads,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9212,1.6722,34.2665,0.9449,cads,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.462,1.4879,33.4994,0.9455,cads,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,2.0507,1.7329,37.2163,0.9495,cads,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.7752,1.7948,40.8641,0.8856,cads,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.2248,1.9101,38.1535,0.913,cads,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.6591,1.8186,34.1765,0.8933,cads,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.2785,1.8258,33.8166,0.9203,cads,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6701,1.6196,39.2694,0.8331,cads,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.7741,1.4129,35.4444,0.9244,cads,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5369,1.5582,39.1728,0.9092,cads,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8323,1.5473,41.1861,0.8555,cads,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.9547,1.8988,40.7332,0.9356,cads,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.1721,1.3533,40.6979,0.8813,cads,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.4786,1.7133,39.285,0.8848,cads,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.914,2.3257,42.896,0.9453,cads,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6207,1.6732,36.9029,0.8963,cads,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4631,1.6511,33.9572,0.9254,cads,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.8829,1.5443,34.5991,0.9104,cads,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.3581,1.7062,37.2936,0.8405,cads,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.1823,1.7129,35.2696,0.879,cads,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,1.9744,1.9658,41.8755,0.9131,cads,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7184,1.6005,32.9512,0.9246,pg,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.7632,1.7025,31.8468,0.8613,pg,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4976,1.5698,36.9538,0.9099,pg,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.7959,1.6919,37.9975,0.8927,pg,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2003,1.5171,35.7831,0.8722,pg,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.8211,1.3334,37.0891,0.6313,pg,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.9135,1.1898,38.7538,0.7325,pg,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.895,1.3488,33.4978,0.7244,pg,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,2.0006,1.247,32.6747,0.696,pg,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4793,1.5446,39.5446,0.6424,pg,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,2.0928,1.5245,39.3244,0.7804,pg,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5497,1.4572,40.9244,0.64,pg,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.9026,1.3976,39.1109,0.8268,pg,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.6353,1.3501,39.3711,0.8094,pg,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.7688,1.5443,42.2893,0.889,pg,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.9202,1.2529,39.4389,0.6468,pg,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.8936,1.5472,39.0511,0.8798,pg,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.8225,1.6531,42.2515,0.9152,pg,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.7164,1.7876,33.9125,0.9343,pg,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7049,2.0748,36.1947,0.8738,pg,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.44,1.38,43.3115,0.8422,pg,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.775,1.4511,41.6376,0.6944,pg,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.5198,1.9517,37.6219,0.9237,pg,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.8244,1.3846,40.9329,0.7027,pg,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.614,1.8126,38.2817,0.8963,pg,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.9466,1.5896,38.026,0.8511,pg,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.6735,1.4605,39.1002,0.927,pg,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.7707,1.6096,35.1135,0.9363,pg,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.5771,1.4088,34.2709,0.9079,pg,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.9058,1.6577,36.792,0.9316,pg,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.7281,1.7328,41.952,0.8116,pg,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.1175,1.8367,37.968,0.8665,pg,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5403,1.7431,34.8784,0.8592,pg,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.3569,1.7193,30.6168,0.9017,pg,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.7699,1.5758,36.4806,0.8343,pg,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.6628,1.3699,35.3469,0.8692,pg,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5253,1.4974,39.2233,0.9015,pg,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8292,1.4905,41.0803,0.8133,pg,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,2.0229,1.8164,40.3364,0.9189,pg,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.2606,1.3213,40.3782,0.8685,pg,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.5736,1.6293,40.1247,0.8482,pg,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.7655,2.2016,42.7066,0.9424,pg,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.7485,1.6069,36.9276,0.8452,pg,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4293,1.5662,32.9967,0.873,pg,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.0008,1.4781,34.0638,0.8903,pg,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,1.9475,1.6252,37.2993,0.8009,pg,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.128,1.6573,36.1378,0.8425,pg,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0607,1.9112,42.1595,0.8925,pg,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.5384,1.4191,39.9202,0.8353,dpp,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.6952,1.7749,42.976,0.8875,dpp,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.7973,1.1828,37.0876,0.6832,dpp,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,2.2043,1.6673,39.4932,0.8875,dpp,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,2.0495,1.7566,36.8165,0.8998,dpp,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.7734,2.1164,35.7404,0.9261,dpp,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7402,2.2102,36.0037,0.9332,dpp,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.7169,1.4046,42.683,0.9092,dpp,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,2.0075,1.4867,39.5688,0.9295,dpp,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.7906,2.2113,35.3044,0.973,dpp,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.7366,1.3309,40.0036,0.7436,dpp,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,2.5726,2.2201,33.6524,0.8906,dpp,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.82,1.8124,36.7658,0.8627,dpp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.7075,1.4632,40.4334,0.919,dpp,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9448,1.8663,34.6465,0.8881,dpp,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.2239,1.5065,33.49,0.9465,dpp,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.7947,2.239,36.8976,0.9647,dpp,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.9551,1.762,38.0619,0.9351,dpp,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,1.9874,1.835,35.8534,0.9199,dpp,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.7216,2.079,33.3069,0.914,dpp,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.2891,1.8358,32.1627,0.8601,dpp,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.5987,1.9917,39.2782,0.8647,dpp,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.6202,1.1831,34.7395,0.7226,dpp,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.4756,1.9264,39.9886,0.8299,dpp,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.7427,1.5013,40.0324,0.8858,dpp,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,2.1382,2.2627,40.0485,0.9502,dpp,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,1.8725,1.5182,42.0642,0.764,dpp,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.7028,1.9967,39.5027,0.8983,dpp,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.7889,2.3981,43.1405,0.8091,dpp,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.7745,1.5977,36.8981,0.8117,dpp,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.7167,1.7749,32.4851,0.9363,dpp,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.6365,1.8913,30.876,0.8363,dpp,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.0267,1.7165,40.3306,0.8786,dpp,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.1568,1.7734,36.3675,0.9537,dpp,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0727,2.2095,40.8985,0.9323,dpp,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
