prompt_key,prompt_folder,prompt_text,our_value,avg_other,gap_to_avg_other,vendi_pixel__base,vendi_pixel__ourmethod,vendi_pixel__cads,vendi_pixel__pg,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__apg
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.8506,1.9600166666666665,0.1094166666666665,1.8805,1.8506,1.8988,1.8164,2.2627,2.0201,1.8816
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.7328,1.8398,0.1070000000000002,1.7277,1.7328,1.7329,1.6577,2.239,1.9541,1.7274
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5435,1.63745,0.09394999999999998,1.5595,1.5435,1.5516,1.4976,1.957,1.7003,1.5587
the_red_hat_was_on_top_of_the_white_coat,The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.553,1.6433333333333333,0.09033333333333338,1.5916,1.553,1.5619,1.5245,1.9626,1.6279,1.5915
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,1.3937,1.4795833333333335,0.08588333333333353,1.4444,1.3937,1.4553,1.4177,1.6729,1.4431,1.4441
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.5773,1.6584500000000002,0.08115000000000028,1.5964,1.5773,1.6047,1.5446,1.9311,1.6775,1.5964
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5438,1.6232833333333332,0.07948333333333313,1.5607,1.5438,1.5582,1.4974,1.9264,1.6372,1.5598
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.3004,1.3788166666666666,0.07841666666666658,1.3418,1.3004,1.3498,1.2928,1.4784,1.4682,1.3419
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.5959,1.6640833333333331,0.06818333333333304,1.6143,1.5959,1.6133,1.5443,1.7749,1.8228,1.6149
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.813,1.8726000000000003,0.05960000000000032,1.8163,1.813,1.8186,1.7431,2.079,1.9618,1.8168
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6322,1.6897499999999999,0.05754999999999977,1.6156,1.6322,1.6196,1.5758,1.9917,1.7227,1.6131
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.6505,1.7077000000000002,0.05720000000000014,1.6965,1.6505,1.7027,1.6392,1.7133,1.7981,1.6964
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,1.9816,2.0286,0.04699999999999993,1.9856,1.9816,1.9658,1.9112,2.2095,2.1061,1.9934
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1.422,1.4652500000000002,0.04325000000000023,1.4505,1.422,1.4518,1.4123,1.5261,1.4998,1.451
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,1.8853,1.92635,0.04105000000000003,1.8622,1.8853,1.8779,1.7876,2.1164,2.0517,1.8623
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.6539,1.6937333333333333,0.03983333333333339,1.6954,1.6539,1.6977,1.6645,1.6802,1.7297,1.6949
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,1.3641,1.4019666666666666,0.03786666666666649,1.3987,1.3641,1.3996,1.3698,1.3858,1.4591,1.3988
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,1.2539,1.2905166666666668,0.03661666666666674,1.284,1.2539,1.2825,1.247,1.3517,1.3014,1.2765
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,1.5773,1.6111833333333332,0.033883333333333265,1.5327,1.5773,1.5443,1.4781,1.8913,1.6882,1.5325
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.7911,1.8168166666666667,0.025716666666666832,1.7766,1.7911,1.7843,1.7025,2.1041,1.7572,1.7762
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.4912,1.5167166666666667,0.025516666666666632,1.498,1.4912,1.4883,1.4572,1.6144,1.544,1.4984
the_red_umbrella_was_on_top_of_the_white_coat_rack,The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.4336,1.4575666666666667,0.02396666666666669,1.4286,1.4336,1.436,1.3976,1.5337,1.5216,1.4279
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,1.7715,1.7938833333333335,0.02238333333333342,1.7965,1.7715,1.7948,1.7328,1.762,1.8816,1.7956
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.0631,2.0840833333333335,0.020983333333333576,2.0834,2.0631,2.0908,1.9883,2.059,2.2006,2.0824
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,1.6033,1.6230666666666667,0.01976666666666671,1.6002,1.6033,1.6029,1.5447,1.6947,1.696,1.5999
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.4897,1.508,0.018299999999999983,1.5098,1.4897,1.5215,1.4605,1.4632,1.5832,1.5098
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,2.0715,2.0867333333333336,0.015233333333333654,2.0979,2.0715,2.1043,1.9936,2.0876,2.1399,2.0971
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,1.5801,1.5949,0.014799999999999924,1.5546,1.5801,1.5649,1.5032,1.7138,1.6785,1.5544
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7058,1.7197333333333333,0.013933333333333353,1.6676,1.7058,1.6493,1.6005,2.0673,1.6684,1.6653
a_airplane_on_the_left_of_a_turtle,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.3907,1.4034833333333336,0.01278333333333359,1.3904,1.3907,1.395,1.3501,1.4191,1.476,1.3903
